TractId,State,County,TotalPop,Income,IncomePerCap,Professional,Unemployment
17031829100,Illinois,Cook County,3544,23016.0,14223.0,16.8,20.2
17031829200,Illinois,Cook County,5637,47782.0,19088.0,16.3,6.2
17031829301,Illinois,Cook County,4219,68897.0,28266.0,26.0,11.5
17031829302,Illinois,Cook County,4012,22370.0,13418.0,32.0,17.9
17031829401,Illinois,Cook County,1153,34861.0,16917.0,27.1,29.9
17031829402,Illinois,Cook County,3353,35790.0,22886.0,27.4,7.4
17031829500,Illinois,Cook County,4151,33646.0,17292.0,12.6,15.3
17031829600,Illinois,Cook County,2853,42463.0,24474.0,21.9,6.9
17031829700,Illinois,Cook County,4291,35197.0,21565.0,23.0,26.4
17031829800,Illinois,Cook County,6425,103143.0,53248.0,54.7,6.9
17031829901,Illinois,Cook County,8959,68419.0,32667.0,37.7,14.4
17031829902,Illinois,Cook County,6607,71179.0,39400.0,38.8,20.6
17031830001,Illinois,Cook County,2560,42400.0,27598.0,32.9,6.7
17031830003,Illinois,Cook County,7531,88873.0,31602.0,43.2,19.1
17031830004,Illinois,Cook County,7641,97616.0,32246.0,45.2,11.6
17031830005,Illinois,Cook County,4127,98588.0,49020.0,48.6,8.7
17031830006,Illinois,Cook County,2118,54620.0,39736.0,40.5,6.3
17031830007,Illinois,Cook County,5108,44339.0,21293.0,28.0,24.7
17031830008,Illinois,Cook County,4452,83095.0,29201.0,42.6,12.0
17031830100,Illinois,Cook County,3141,64550.0,25400.0,22.6,15.0
17031830201,Illinois,Cook County,5595,42171.0,24760.0,37.8,16.2
17031830202,Illinois,Cook County,3612,102796.0,33007.0,39.0,7.5
17031830300,Illinois,Cook County,4802,27982.0,20291.0,32.6,21.6
17031830400,Illinois,Cook County,4486,55670.0,25724.0,30.4,9.5
17031830500,Illinois,Cook County,4785,39602.0,12115.0,8.6,9.1
17031830600,Illinois,Cook County,4670,49138.0,27359.0,38.8,6.4
17031830700,Illinois,Cook County,3627,44661.0,33719.0,50.8,7.1
17031830800,Illinois,Cook County,2623,71607.0,52156.0,64.9,6.7
17031830900,Illinois,Cook County,2794,96553.0,53682.0,53.4,1.1
17031831000,Illinois,Cook County,2209,152794.0,104927.0,72.0,2.6
17031831100,Illinois,Cook County,7875,56328.0,27326.0,29.6,5.1
17031831200,Illinois,Cook County,5051,36190.0,15878.0,14.5,7.6
17031831300,Illinois,Cook County,1043,35375.0,15055.0,15.7,12.9
17031831400,Illinois,Cook County,3000,33381.0,15609.0,18.4,11.1
17031831500,Illinois,Cook County,3540,57847.0,24119.0,29.1,7.3
17031831600,Illinois,Cook County,7574,42077.0,24548.0,23.7,8.9
17031831700,Illinois,Cook County,2365,57727.0,24142.0,31.1,12.0
17031831800,Illinois,Cook County,6418,60625.0,27889.0,42.3,5.8
17031831900,Illinois,Cook County,2818,101612.0,75428.0,65.5,1.6
17031832000,Illinois,Cook County,1799,105625.0,60524.0,53.5,3.3
17031832100,Illinois,Cook County,3234,69476.0,52441.0,55.8,5.1
17031832200,Illinois,Cook County,3397,91723.0,62109.0,68.1,2.0
17031832300,Illinois,Cook County,2111,105556.0,60438.0,56.9,1.7
17031832400,Illinois,Cook County,2926,95547.0,48912.0,63.3,3.9
17031832500,Illinois,Cook County,3732,116935.0,66136.0,68.0,7.3
17031832600,Illinois,Cook County,3728,148017.0,87873.0,60.2,1.8
17031832900,Illinois,Cook County,2381,53911.0,38036.0,64.8,10.5
17031833000,Illinois,Cook County,3567,133571.0,87601.0,73.5,5.5
17031833100,Illinois,Cook County,7441,116071.0,77252.0,70.1,2.3
17031833300,Illinois,Cook County,2646,45833.0,31959.0,54.5,8.0
17031833900,Illinois,Cook County,2441,32159.0,16690.0,14.5,19.6
17031834000,Illinois,Cook County,2956,34864.0,19878.0,24.8,18.7
17031834200,Illinois,Cook County,4310,33835.0,23766.0,24.8,15.3
17031834300,Illinois,Cook County,6384,34140.0,21862.0,32.1,18.1
17031834400,Illinois,Cook County,4487,38233.0,23612.0,40.7,13.2
17031834500,Illinois,Cook County,1273,31483.0,15021.0,51.4,28.1
17031834600,Illinois,Cook County,2535,21196.0,15973.0,14.7,36.9
17031834700,Illinois,Cook County,1748,21802.0,14146.0,10.5,28.8
17031834800,Illinois,Cook County,1566,20559.0,13637.0,11.1,37.2
17031834900,Illinois,Cook County,1859,18401.0,12375.0,16.9,29.2
17031835000,Illinois,Cook County,5579,26926.0,15297.0,12.8,24.4
17031835100,Illinois,Cook County,5809,35962.0,13399.0,11.9,22.2
17031835200,Illinois,Cook County,1833,45417.0,22231.0,14.0,10.3
17031835500,Illinois,Cook County,1444,20517.0,15204.0,21.5,26.1
17031835600,Illinois,Cook County,910,26458.0,21183.0,28.4,38.6
17031835700,Illinois,Cook County,592,54977.0,9669.0,100.0,92.8
17031835800,Illinois,Cook County,1707,60598.0,26890.0,64.6,22.5
17031835900,Illinois,Cook County,3170,18856.0,19665.0,32.7,27.6
17031836000,Illinois,Cook County,2685,60368.0,29919.0,35.2,20.3
17031836100,Illinois,Cook County,2163,25462.0,15846.0,14.5,21.8
17031836200,Illinois,Cook County,1585,50769.0,11790.0,54.1,11.6
17031836300,Illinois,Cook County,1421,54259.0,42506.0,51.9,8.6
17031836400,Illinois,Cook County,3308,30137.0,26356.0,51.7,17.1
17031836500,Illinois,Cook County,1754,32583.0,17713.0,23.4,32.1
17031836600,Illinois,Cook County,2337,44808.0,24553.0,29.3,5.0
17031836700,Illinois,Cook County,2252,24946.0,15043.0,19.8,12.2
17031836800,Illinois,Cook County,2214,12696.0,10645.0,15.3,20.9
17031836900,Illinois,Cook County,1422,26458.0,12812.0,21.8,22.5
17031837000,Illinois,Cook County,2028,29911.0,18934.0,31.1,16.5
17031837100,Illinois,Cook County,1634,22266.0,18813.0,38.2,21.3
17031837300,Illinois,Cook County,2519,28750.0,14789.0,23.8,11.0
17031837400,Illinois,Cook County,2403,39609.0,15854.0,14.5,23.0
17031837800,Illinois,Cook County,3110,60893.0,27370.0,49.4,15.4
17031838000,Illinois,Cook County,2760,18147.0,22667.0,50.2,15.9
17031838100,Illinois,Cook County,1980,17047.0,32725.0,70.1,21.7
17031838200,Illinois,Cook County,2028,36389.0,14765.0,38.4,6.6
17031838300,Illinois,Cook County,1515,44875.0,36594.0,51.3,7.6
17031838600,Illinois,Cook County,1467,14850.0,8513.0,22.3,19.0
17031838700,Illinois,Cook County,4631,22742.0,10749.0,20.1,25.8
17031838800,Illinois,Cook County,3526,19155.0,11757.0,12.6,24.1
17031839000,Illinois,Cook County,8542,84347.0,60436.0,67.2,3.2
17031839100,Illinois,Cook County,6760,90489.0,61595.0,71.7,5.7
17031839200,Illinois,Cook County,2368,29476.0,28218.0,52.2,8.8
17031839500,Illinois,Cook County,1367,21719.0,36587.0,57.2,1.5
17031839600,Illinois,Cook County,1521,35461.0,31915.0,42.4,10.8
17031839700,Illinois,Cook County,4417,48800.0,29720.0,44.7,7.1
17031839800,Illinois,Cook County,2834,49583.0,27514.0,47.8,3.8
17031839900,Illinois,Cook County,4374,50265.0,30520.0,43.1,6.1
17031840000,Illinois,Cook County,2891,71989.0,33042.0,45.5,8.3
17031840100,Illinois,Cook County,2957,38886.0,19201.0,20.7,9.3
17031840200,Illinois,Cook County,2448,55600.0,24883.0,29.4,10.3
17031840300,Illinois,Cook County,3917,48056.0,19664.0,23.1,12.8
17031840400,Illinois,Cook County,3265,40750.0,21775.0,37.6,11.6
17031840700,Illinois,Cook County,3921,34219.0,13565.0,14.0,10.9
17031840800,Illinois,Cook County,2805,31648.0,13834.0,11.7,6.3
17031841000,Illinois,Cook County,878,63125.0,49824.0,61.5,5.1
17031841100,Illinois,Cook County,6821,26905.0,19802.0,24.0,9.3
17031841200,Illinois,Cook County,5183,36104.0,16387.0,29.1,7.9
17031841300,Illinois,Cook County,4040,48750.0,23123.0,33.6,5.8
17031841400,Illinois,Cook County,1189,29338.0,16938.0,22.3,14.0
17031841500,Illinois,Cook County,2932,24858.0,12767.0,20.7,20.4
17031841600,Illinois,Cook County,689,21767.0,13455.0,12.9,12.6
17031841700,Illinois,Cook County,1652,19630.0,13874.0,13.8,15.4
17031841800,Illinois,Cook County,2756,36250.0,16250.0,33.4,25.7
17031841900,Illinois,Cook County,6509,113882.0,34589.0,54.9,9.8
17031842000,Illinois,Cook County,3106,85057.0,19209.0,46.1,4.3
17031842100,Illinois,Cook County,7664,33945.0,11237.0,15.0,14.1
17031842200,Illinois,Cook County,3058,92227.0,68751.0,67.3,1.5
17031842300,Illinois,Cook County,3189,123750.0,74733.0,68.5,5.2
17031842400,Illinois,Cook County,3084,39161.0,20760.0,27.1,23.9
17031842500,Illinois,Cook County,2007,10471.0,8763.0,21.7,38.6
17031842600,Illinois,Cook County,4115,58315.0,25256.0,26.4,13.0
17031842800,Illinois,Cook County,7420,32236.0,12226.0,10.2,10.9
17031842900,Illinois,Cook County,2050,21325.0,24790.0,21.4,7.6
17031843000,Illinois,Cook County,2689,18036.0,11485.0,11.2,16.1
17031843100,Illinois,Cook County,1742,27292.0,14867.0,26.5,7.7
17031843200,Illinois,Cook County,2250,46387.0,21969.0,37.8,8.5
17031843300,Illinois,Cook County,2144,47829.0,14140.0,37.9,15.1
17031843400,Illinois,Cook County,1254,26607.0,13346.0,4.7,10.5
17031843500,Illinois,Cook County,10079,25714.0,2971.0,5.7,7.5
17031843600,Illinois,Cook County,2822,35714.0,29855.0,44.0,24.7
17031843700,Illinois,Cook County,2549,105408.0,61218.0,48.5,4.2
17031843800,Illinois,Cook County,1699,45833.0,19669.0,15.7,18.6
17031843900,Illinois,Cook County,3332,32750.0,26022.0,58.6,9.2
17031980000,Illinois,Cook County,0,54977.0,26827.0,33.8,7.4
17031980100,Illinois,Cook County,0,54977.0,26827.0,33.8,7.4
17031990000,Illinois,Cook County,0,54977.0,26827.0,33.8,7.4
